date,portname,portcalls_container,portcalls
2019-01-01,Ningbo,31,48
2019-01-02,Ningbo,27,44
2019-01-03,Ningbo,30,53
2019-01-04,Ningbo,29,46
2019-01-05,Ningbo,26,51
2019-01-06,Ningbo,30,50
2019-01-07,Ningbo,29,53
2019-01-08,Ningbo,34,54
2019-01-09,Ningbo,25,56
2019-01-10,Ningbo,28,49
2019-01-11,Ningbo,33,49
2019-01-12,Ningbo,28,50
2019-01-13,Ningbo,29,59
2019-01-14,Ningbo,30,56
2019-01-15,Ningbo,24,49
2019-01-16,Ningbo,30,49
2019-01-17,Ningbo,35,55
2019-01-18,Ningbo,27,50
2019-01-19,Ningbo,32,47
2019-01-20,Ningbo,27,46
2019-01-21,Ningbo,25,47
2019-01-22,Ningbo,25,49
2019-01-23,Ningbo,30,60
2019-01-24,Ningbo,31,60
2019-01-25,Ningbo,24,51
2019-01-26,Ningbo,34,54
2019-01-27,Ningbo,24,43
2019-01-28,Ningbo,23,48
2019-01-29,Ningbo,33,53
2019-01-30,Ningbo,26,48
2019-01-31,Ningbo,21,36
2019-02-01,Ningbo,31,66
2019-02-02,Ningbo,34,69
2019-02-03,Ningbo,28,47
2019-02-04,Ningbo,20,43
2019-02-05,Ningbo,20,35
2019-02-06,Ningbo,27,41
2019-02-07,Ningbo,13,26
2019-02-08,Ningbo,27,52
2019-02-09,Ningbo,19,41
2019-02-10,Ningbo,21,45
2019-02-11,Ningbo,25,43
2019-02-12,Ningbo,22,41
2019-02-13,Ningbo,14,37
2019-02-14,Ningbo,12,28
2019-02-15,Ningbo,21,37
2019-02-16,Ningbo,15,40
2019-02-17,Ningbo,15,31
2019-02-18,Ningbo,19,38
2019-02-19,Ningbo,18,35
2019-02-20,Ningbo,28,50
2019-02-21,Ningbo,22,39
2019-02-22,Ningbo,24,45
2019-02-23,Ningbo,28,46
2019-02-24,Ningbo,29,45
2019-02-25,Ningbo,25,44
2019-02-26,Ningbo,26,50
2019-02-27,Ningbo,28,54
2019-02-28,Ningbo,19,36
2019-03-01,Ningbo,34,61
2019-03-02,Ningbo,22,41
2019-03-03,Ningbo,29,44
2019-03-04,Ningbo,26,45
2019-03-05,Ningbo,23,36
2019-03-06,Ningbo,32,49
2019-03-07,Ningbo,23,57
2019-03-08,Ningbo,27,46
2019-03-09,Ningbo,22,43
2019-03-10,Ningbo,29,38
2019-03-11,Ningbo,30,62
2019-03-12,Ningbo,26,58
2019-03-13,Ningbo,34,58
2019-03-14,Ningbo,24,47
2019-03-15,Ningbo,31,56
2019-03-16,Ningbo,28,59
2019-03-17,Ningbo,24,44
2019-03-18,Ningbo,34,57
2019-03-19,Ningbo,31,51
2019-03-20,Ningbo,15,27
2019-03-21,Ningbo,38,63
2019-03-22,Ningbo,29,55
2019-03-23,Ningbo,30,51
2019-03-24,Ningbo,33,47
2019-03-25,Ningbo,29,60
2019-03-26,Ningbo,23,42
2019-03-27,Ningbo,28,57
2019-03-28,Ningbo,32,61
2019-03-29,Ningbo,29,51
2019-03-30,Ningbo,30,53
2019-03-31,Ningbo,31,58
2019-04-01,Ningbo,25,51
2019-04-02,Ningbo,30,53
2019-04-03,Ningbo,32,60
2019-04-04,Ningbo,24,49
2019-04-05,Ningbo,30,53
2019-04-06,Ningbo,30,50
2019-04-07,Ningbo,31,54
2019-04-08,Ningbo,4,14
2019-04-09,Ningbo,16,26
2019-04-10,Ningbo,38,60
2019-04-11,Ningbo,28,59
2019-04-12,Ningbo,34,70
2019-04-13,Ningbo,30,59
2019-04-14,Ningbo,29,48
2019-04-15,Ningbo,27,57
2019-04-16,Ningbo,32,54
2019-04-17,Ningbo,29,41
2019-04-18,Ningbo,29,53
2019-04-19,Ningbo,30,55
2019-04-20,Ningbo,27,47
2019-04-21,Ningbo,15,28
2019-04-22,Ningbo,1,1
