date,portname,portcalls_container,portcalls
2019-01-01,Shanghai,32,107
2019-01-02,Shanghai,22,101
2019-01-03,Shanghai,27,110
2019-01-04,Shanghai,16,65
2019-01-05,Shanghai,44,144
2019-01-06,Shanghai,32,110
2019-01-07,Shanghai,42,126
2019-01-08,Shanghai,29,115
2019-01-09,Shanghai,28,103
2019-01-10,Shanghai,27,108
2019-01-11,Shanghai,39,130
2019-01-12,Shanghai,32,115
2019-01-13,Shanghai,31,115
2019-01-14,Shanghai,31,130
2019-01-15,Shanghai,35,113
2019-01-16,Shanghai,35,119
2019-01-17,Shanghai,26,111
2019-01-18,Shanghai,30,107
2019-01-19,Shanghai,31,102
2019-01-20,Shanghai,32,111
2019-01-21,Shanghai,27,119
2019-01-22,Shanghai,33,127
2019-01-23,Shanghai,30,107
2019-01-24,Shanghai,19,75
2019-01-25,Shanghai,38,142
2019-01-26,Shanghai,35,107
2019-01-27,Shanghai,31,119
2019-01-28,Shanghai,29,120
2019-01-29,Shanghai,30,94
2019-01-30,Shanghai,20,85
2019-01-31,Shanghai,33,93
2019-02-01,Shanghai,36,142
2019-02-02,Shanghai,33,118
2019-02-03,Shanghai,33,106
2019-02-04,Shanghai,20,68
2019-02-05,Shanghai,24,92
2019-02-06,Shanghai,28,93
2019-02-07,Shanghai,14,65
2019-02-08,Shanghai,15,91
2019-02-09,Shanghai,24,83
2019-02-10,Shanghai,20,82
2019-02-11,Shanghai,28,92
2019-02-12,Shanghai,24,98
2019-02-13,Shanghai,20,92
2019-02-14,Shanghai,20,88
2019-02-15,Shanghai,18,82
2019-02-16,Shanghai,35,123
2019-02-17,Shanghai,23,98
2019-02-18,Shanghai,30,106
2019-02-19,Shanghai,29,109
2019-02-20,Shanghai,23,114
2019-02-21,Shanghai,28,111
2019-02-22,Shanghai,30,109
2019-02-23,Shanghai,39,128
2019-02-24,Shanghai,23,94
2019-02-25,Shanghai,23,77
2019-02-26,Shanghai,33,155
2019-02-27,Shanghai,30,103
2019-02-28,Shanghai,44,102
2019-03-01,Shanghai,29,110
2019-03-02,Shanghai,30,118
2019-03-03,Shanghai,32,106
2019-03-04,Shanghai,31,110
2019-03-05,Shanghai,23,78
2019-03-06,Shanghai,25,121
2019-03-07,Shanghai,40,134
2019-03-08,Shanghai,39,107
2019-03-09,Shanghai,13,41
2019-03-10,Shanghai,30,141
2019-03-11,Shanghai,29,113
2019-03-12,Shanghai,38,125
2019-03-13,Shanghai,31,112
2019-03-14,Shanghai,36,119
2019-03-15,Shanghai,31,118
2019-03-16,Shanghai,30,102
2019-03-17,Shanghai,32,120
2019-03-18,Shanghai,39,131
2019-03-19,Shanghai,36,109
2019-03-20,Shanghai,28,91
2019-03-21,Shanghai,35,128
2019-03-22,Shanghai,30,97
2019-03-23,Shanghai,41,122
2019-03-24,Shanghai,26,107
2019-03-25,Shanghai,42,137
2019-03-26,Shanghai,30,124
2019-03-27,Shanghai,34,117
2019-03-28,Shanghai,36,119
2019-03-29,Shanghai,31,98
2019-03-30,Shanghai,27,95
2019-03-31,Shanghai,35,97
2019-04-01,Shanghai,30,98
2019-04-02,Shanghai,31,116
2019-04-03,Shanghai,29,117
2019-04-04,Shanghai,31,107
2019-04-05,Shanghai,29,134
2019-04-06,Shanghai,28,112
2019-04-07,Shanghai,31,98
2019-04-08,Shanghai,16,65
2019-04-09,Shanghai,25,109
2019-04-10,Shanghai,29,104
2019-04-11,Shanghai,39,115
2019-04-12,Shanghai,41,127
2019-04-13,Shanghai,36,108
2019-04-14,Shanghai,31,104
2019-04-15,Shanghai,32,107
2019-04-16,Shanghai,31,106
2019-04-17,Shanghai,25,140
2019-04-18,Shanghai,26,117
2019-04-19,Shanghai,32,96
2019-04-20,Shanghai,40,136
2019-04-21,Shanghai,39,108
2019-04-22,Shanghai,32,109
2019-04-23,Shanghai,15,60
2019-04-24,Shanghai,27,106
2019-04-25,Shanghai,34,147
2019-04-26,Shanghai,33,108
2019-04-27,Shanghai,40,126
2019-04-28,Shanghai,31,106
2019-04-29,Shanghai,32,114
2019-04-30,Shanghai,11,41
2019-05-01,Shanghai,23,77
2019-05-02,Shanghai,37,155
2019-05-03,Shanghai,29,113
2019-05-04,Shanghai,32,103
2019-05-05,Shanghai,28,113
2019-05-06,Shanghai,27,123
2019-05-07,Shanghai,36,112
2019-05-08,Shanghai,30,122
2019-05-09,Shanghai,32,113
2019-05-10,Shanghai,38,118
2019-05-11,Shanghai,28,129
2019-05-12,Shanghai,30,96
2019-05-13,Shanghai,31,99
2019-05-14,Shanghai,26,109
2019-05-15,Shanghai,32,95
2019-05-16,Shanghai,18,72
2019-05-17,Shanghai,1,12
2019-05-18,Shanghai,46,196
2019-05-19,Shanghai,35,113
2019-05-20,Shanghai,32,105
2019-05-21,Shanghai,43,142
2019-05-22,Shanghai,32,125
2019-05-23,Shanghai,33,126
2019-05-24,Shanghai,42,126
2019-05-25,Shanghai,33,103
2019-05-26,Shanghai,24,87
2019-05-27,Shanghai,35,119
2019-05-28,Shanghai,31,137
2019-05-29,Shanghai,28,97
2019-05-30,Shanghai,33,103
2019-05-31,Shanghai,35,118
2019-06-01,Shanghai,39,131
2019-06-02,Shanghai,32,118
2019-06-03,Shanghai,36,132
2019-06-04,Shanghai,30,119
2019-06-05,Shanghai,27,98
2019-06-06,Shanghai,26,81
2019-06-07,Shanghai,32,133
2019-06-08,Shanghai,37,119
2019-06-09,Shanghai,35,116
2019-06-10,Shanghai,39,123
2019-06-11,Shanghai,36,133
2019-06-12,Shanghai,31,116
2019-06-13,Shanghai,34,128
2019-06-14,Shanghai,28,117
2019-06-15,Shanghai,34,105
2019-06-16,Shanghai,40,109
2019-06-17,Shanghai,38,123
2019-06-18,Shanghai,31,112
2019-06-19,Shanghai,39,118
2019-06-20,Shanghai,30,119
2019-06-21,Shanghai,35,110
2019-06-22,Shanghai,36,115
2019-06-23,Shanghai,32,112
2019-06-24,Shanghai,28,121
2019-06-25,Shanghai,32,119
2019-06-26,Shanghai,35,116
2019-06-27,Shanghai,27,107
2019-06-28,Shanghai,21,87
2019-06-29,Shanghai,36,122
2019-06-30,Shanghai,31,104
2019-07-01,Shanghai,30,114
2019-07-02,Shanghai,26,123
2019-07-03,Shanghai,37,118
2019-07-04,Shanghai,39,115
2019-07-05,Shanghai,38,124
2019-07-06,Shanghai,36,115
2019-07-07,Shanghai,36,126
2019-07-08,Shanghai,33,117
2019-07-09,Shanghai,34,114
2019-07-10,Shanghai,41,122
2019-07-11,Shanghai,32,126
2019-07-12,Shanghai,29,108
2019-07-13,Shanghai,30,101
2019-07-14,Shanghai,33,119
2019-07-15,Shanghai,38,121
2019-07-16,Shanghai,27,94
2019-07-17,Shanghai,35,124
2019-07-18,Shanghai,30,99
2019-07-19,Shanghai,26,84
2019-07-20,Shanghai,35,135
2019-07-21,Shanghai,30,108
2019-07-22,Shanghai,31,124
2019-07-23,Shanghai,32,122
2019-07-24,Shanghai,33,117
2019-07-25,Shanghai,40,129
2019-07-26,Shanghai,33,120
2019-07-27,Shanghai,38,110
2019-07-28,Shanghai,29,113
2019-07-29,Shanghai,39,121
2019-07-30,Shanghai,31,126
2019-07-31,Shanghai,28,105
2019-08-01,Shanghai,32,117
2019-08-02,Shanghai,33,106
2019-08-03,Shanghai,37,115
2019-08-04,Shanghai,28,98
2019-08-05,Shanghai,37,146
2019-08-06,Shanghai,29,121
2019-08-07,Shanghai,31,115
2019-08-08,Shanghai,27,79
2019-08-09,Shanghai,2,4
2019-08-10,Shanghai,0,2
2019-08-11,Shanghai,27,85
2019-08-12,Shanghai,31,153
2019-08-13,Shanghai,49,140
2019-08-14,Shanghai,31,117
2019-08-15,Shanghai,30,119
2019-08-16,Shanghai,40,125
2019-08-17,Shanghai,28,108
2019-08-18,Shanghai,33,115
2019-08-19,Shanghai,39,134
2019-08-20,Shanghai,34,117
2019-08-21,Shanghai,34,131
2019-08-22,Shanghai,31,132
2019-08-23,Shanghai,42,139
2019-08-24,Shanghai,30,126
2019-08-25,Shanghai,39,116
2019-08-26,Shanghai,27,111
2019-08-27,Shanghai,29,105
2019-08-28,Shanghai,30,120
2019-08-29,Shanghai,30,112
2019-08-30,Shanghai,40,137
2019-08-31,Shanghai,32,103
2019-09-01,Shanghai,26,115
2019-09-02,Shanghai,38,121
2019-09-03,Shanghai,33,113
2019-09-04,Shanghai,29,120
2019-09-05,Shanghai,29,90
2019-09-06,Shanghai,13,28
2019-09-07,Shanghai,35,163
2019-09-08,Shanghai,36,111
2019-09-09,Shanghai,37,124
2019-09-10,Shanghai,33,120
2019-09-11,Shanghai,29,111
2019-09-12,Shanghai,33,137
2019-09-13,Shanghai,38,116
2019-09-14,Shanghai,40,121
2019-09-15,Shanghai,31,117
2019-09-16,Shanghai,36,129
2019-09-17,Shanghai,32,117
2019-09-18,Shanghai,26,118
2019-09-19,Shanghai,38,112
2019-09-20,Shanghai,23,100
2019-09-21,Shanghai,3,24
2019-09-22,Shanghai,10,55
2019-09-23,Shanghai,43,169
2019-09-24,Shanghai,30,106
2019-09-25,Shanghai,35,117
2019-09-26,Shanghai,33,132
2019-09-27,Shanghai,35,135
2019-09-28,Shanghai,37,128
2019-09-29,Shanghai,36,119
2019-09-30,Shanghai,30,94
2019-10-01,Shanghai,1,7
2019-10-02,Shanghai,22,78
2019-10-03,Shanghai,43,183
2019-10-04,Shanghai,37,122
2019-10-05,Shanghai,30,97
2019-10-06,Shanghai,34,136
2019-10-07,Shanghai,39,130
2019-10-08,Shanghai,28,105
2019-10-09,Shanghai,26,105
2019-10-10,Shanghai,26,109
2019-10-11,Shanghai,24,112
2019-10-12,Shanghai,37,111
2019-10-13,Shanghai,31,125
2019-10-14,Shanghai,29,114
2019-10-15,Shanghai,29,103
2019-10-16,Shanghai,31,127
2019-10-17,Shanghai,29,99
2019-10-18,Shanghai,34,116
2019-10-19,Shanghai,41,127
2019-10-20,Shanghai,30,100
2019-10-21,Shanghai,35,130
2019-10-22,Shanghai,29,124
2019-10-23,Shanghai,23,100
2019-10-24,Shanghai,32,105
2019-10-25,Shanghai,37,115
2019-10-26,Shanghai,32,129
2019-10-27,Shanghai,35,139
2019-10-28,Shanghai,36,137
2019-10-29,Shanghai,35,120
2019-10-30,Shanghai,27,105
2019-10-31,Shanghai,29,120
2019-11-01,Shanghai,41,121
2019-11-02,Shanghai,34,101
2019-11-03,Shanghai,34,104
2019-11-04,Shanghai,38,120
2019-11-05,Shanghai,34,99
2019-11-06,Shanghai,30,105
2019-11-07,Shanghai,27,98
2019-11-08,Shanghai,39,109
2019-11-09,Shanghai,37,127
2019-11-10,Shanghai,29,99
2019-11-11,Shanghai,31,128
2019-11-12,Shanghai,38,117
2019-11-13,Shanghai,26,108
2019-11-14,Shanghai,36,135
2019-11-15,Shanghai,35,126
2019-11-16,Shanghai,36,136
2019-11-17,Shanghai,30,106
2019-11-18,Shanghai,32,94
2019-11-19,Shanghai,33,117
2019-11-20,Shanghai,31,115
2019-11-21,Shanghai,30,114
2019-11-22,Shanghai,36,108
2019-11-23,Shanghai,26,101
2019-11-24,Shanghai,31,102
2019-11-25,Shanghai,34,113
2019-11-26,Shanghai,27,132
2019-11-27,Shanghai,27,100
2019-11-28,Shanghai,38,113
2019-11-29,Shanghai,35,130
2019-11-30,Shanghai,40,119
2019-12-01,Shanghai,25,83
2019-12-02,Shanghai,34,121
2019-12-03,Shanghai,41,147
2019-12-04,Shanghai,28,132
2019-12-05,Shanghai,35,106
2019-12-06,Shanghai,35,125
2019-12-07,Shanghai,26,123
2019-12-08,Shanghai,30,118
2019-12-09,Shanghai,39,142
2019-12-10,Shanghai,30,104
2019-12-11,Shanghai,27,98
2019-12-12,Shanghai,31,98
2019-12-13,Shanghai,33,101
2019-12-14,Shanghai,33,89
2019-12-15,Shanghai,29,76
2019-12-16,Shanghai,37,97
2019-12-17,Shanghai,31,94
2019-12-18,Shanghai,35,104
2019-12-19,Shanghai,33,112
2019-12-20,Shanghai,36,103
2019-12-21,Shanghai,28,84
2019-12-22,Shanghai,34,95
2019-12-23,Shanghai,34,109
2019-12-24,Shanghai,31,105
2019-12-25,Shanghai,32,93
2019-12-26,Shanghai,31,101
2019-12-27,Shanghai,32,108
2019-12-28,Shanghai,37,102
2019-12-29,Shanghai,29,89
2019-12-30,Shanghai,33,100
2019-12-31,Shanghai,27,100
2020-01-01,Shanghai,40,130
2020-01-02,Shanghai,35,127
2020-01-03,Shanghai,26,88
2020-01-04,Shanghai,33,117
2020-01-05,Shanghai,30,114
2020-01-06,Shanghai,36,119
2020-01-07,Shanghai,29,88
2020-01-08,Shanghai,34,134
2020-01-09,Shanghai,30,120
2020-01-10,Shanghai,39,115
2020-01-11,Shanghai,24,100
2020-01-12,Shanghai,30,106
2020-01-13,Shanghai,33,128
2020-01-14,Shanghai,41,137
2020-01-15,Shanghai,36,123
2020-01-16,Shanghai,32,116
2020-01-17,Shanghai,33,121
2020-01-18,Shanghai,33,118
2020-01-19,Shanghai,38,122
2020-01-20,Shanghai,18,93
2020-01-21,Shanghai,32,121
2020-01-22,Shanghai,15,38
2020-01-23,Shanghai,33,145
2020-01-24,Shanghai,33,91
2020-01-25,Shanghai,34,91
2020-01-26,Shanghai,31,76
2020-01-27,Shanghai,24,84
2020-01-28,Shanghai,30,90
2020-01-29,Shanghai,27,106
2020-01-30,Shanghai,26,100
2020-01-31,Shanghai,23,97
2020-02-01,Shanghai,34,105
2020-02-02,Shanghai,27,85
2020-02-03,Shanghai,14,91
2020-02-04,Shanghai,26,103
2020-02-05,Shanghai,20,78
2020-02-06,Shanghai,14,92
2020-02-07,Shanghai,23,99
2020-02-08,Shanghai,21,85
2020-02-09,Shanghai,21,99
2020-02-10,Shanghai,24,106
2020-02-11,Shanghai,22,72
2020-02-12,Shanghai,17,57
2020-02-13,Shanghai,25,92
2020-02-14,Shanghai,0,0
2020-02-15,Shanghai,30,106
2020-02-16,Shanghai,40,106
2020-02-17,Shanghai,30,106
2020-02-18,Shanghai,33,111
2020-02-19,Shanghai,29,96
2020-02-20,Shanghai,29,101
2020-02-21,Shanghai,34,92
2020-02-22,Shanghai,33,109
2020-02-23,Shanghai,34,89
2020-02-24,Shanghai,31,117
2020-02-25,Shanghai,32,112
2020-02-26,Shanghai,32,94
2020-02-27,Shanghai,22,92
2020-02-28,Shanghai,33,107
2020-02-29,Shanghai,25,102
2020-03-01,Shanghai,28,102
2020-03-02,Shanghai,26,104
2020-03-03,Shanghai,34,120
2020-03-04,Shanghai,30,116
2020-03-05,Shanghai,30,104
2020-03-06,Shanghai,35,113
2020-03-07,Shanghai,36,110
2020-03-08,Shanghai,31,99
2020-03-09,Shanghai,25,95
2020-03-10,Shanghai,27,94
2020-03-11,Shanghai,35,122
2020-03-12,Shanghai,31,110
2020-03-13,Shanghai,40,119
2020-03-14,Shanghai,31,111
2020-03-15,Shanghai,40,106
2020-03-16,Shanghai,35,128
2020-03-17,Shanghai,27,98
2020-03-18,Shanghai,17,70
2020-03-19,Shanghai,37,110
2020-03-20,Shanghai,33,104
2020-03-21,Shanghai,29,99
2020-03-22,Shanghai,37,116
2020-03-23,Shanghai,31,122
2020-03-24,Shanghai,33,121
2020-03-25,Shanghai,32,96
2020-03-26,Shanghai,20,76
2020-03-27,Shanghai,36,119
2020-03-28,Shanghai,34,84
2020-03-29,Shanghai,32,114
2020-03-30,Shanghai,37,108
2020-03-31,Shanghai,35,108
2020-04-01,Shanghai,29,109
2020-04-02,Shanghai,35,109
2020-04-03,Shanghai,37,118
2020-04-04,Shanghai,27,108
2020-04-05,Shanghai,29,97
2020-04-06,Shanghai,29,114
2020-04-07,Shanghai,30,105
2020-04-08,Shanghai,35,116
2020-04-09,Shanghai,37,115
2020-04-10,Shanghai,29,111
2020-04-11,Shanghai,33,103
2020-04-12,Shanghai,33,103
2020-04-13,Shanghai,26,130
2020-04-14,Shanghai,27,108
2020-04-15,Shanghai,30,109
2020-04-16,Shanghai,25,97
2020-04-17,Shanghai,33,111
2020-04-18,Shanghai,37,127
2020-04-19,Shanghai,32,98
2020-04-20,Shanghai,30,141
2020-04-21,Shanghai,29,118
2020-04-22,Shanghai,29,115
2020-04-23,Shanghai,27,105
2020-04-24,Shanghai,33,129
2020-04-25,Shanghai,35,116
2020-04-26,Shanghai,33,106
2020-04-27,Shanghai,28,116
2020-04-28,Shanghai,31,113
2020-04-29,Shanghai,29,120
2020-04-30,Shanghai,33,125
2020-05-01,Shanghai,28,97
2020-05-02,Shanghai,31,129
2020-05-03,Shanghai,34,120
2020-05-04,Shanghai,23,102
2020-05-05,Shanghai,21,104
2020-05-06,Shanghai,38,125
2020-05-07,Shanghai,28,91
2020-05-08,Shanghai,28,87
2020-05-09,Shanghai,31,155
2020-05-10,Shanghai,34,107
2020-05-11,Shanghai,30,121
2020-05-12,Shanghai,24,119
2020-05-13,Shanghai,28,114
2020-05-14,Shanghai,37,111
2020-05-15,Shanghai,28,113
2020-05-16,Shanghai,18,80
2020-05-17,Shanghai,6,41
2020-05-18,Shanghai,46,169
2020-05-19,Shanghai,35,126
2020-05-20,Shanghai,34,123
2020-05-21,Shanghai,43,118
2020-05-22,Shanghai,32,127
2020-05-23,Shanghai,36,134
2020-05-24,Shanghai,40,136
2020-05-25,Shanghai,35,130
2020-05-26,Shanghai,30,107
2020-05-27,Shanghai,35,130
2020-05-28,Shanghai,27,103
2020-05-29,Shanghai,34,113
2020-05-30,Shanghai,31,83
2020-05-31,Shanghai,35,142
2020-06-01,Shanghai,32,128
2020-06-02,Shanghai,29,123
2020-06-03,Shanghai,37,128
2020-06-04,Shanghai,23,97
2020-06-05,Shanghai,39,122
2020-06-06,Shanghai,37,128
2020-06-07,Shanghai,32,104
2020-06-08,Shanghai,28,131
2020-06-09,Shanghai,28,116
2020-06-10,Shanghai,31,119
2020-06-11,Shanghai,16,73
2020-06-12,Shanghai,43,165
2020-06-13,Shanghai,33,103
2020-06-14,Shanghai,39,112
2020-06-15,Shanghai,35,124
2020-06-16,Shanghai,33,103
2020-06-17,Shanghai,28,102
2020-06-18,Shanghai,34,150
2020-06-19,Shanghai,40,133
2020-06-20,Shanghai,40,143
2020-06-21,Shanghai,31,129
2020-06-22,Shanghai,32,116
2020-06-23,Shanghai,36,146
2020-06-24,Shanghai,36,132
2020-06-25,Shanghai,36,119
2020-06-26,Shanghai,22,86
2020-06-27,Shanghai,45,152
2020-06-28,Shanghai,29,106
2020-06-29,Shanghai,36,130
2020-06-30,Shanghai,29,118
2020-07-01,Shanghai,30,120
2020-07-02,Shanghai,25,108
2020-07-03,Shanghai,38,120
2020-07-04,Shanghai,40,119
2020-07-05,Shanghai,38,115
2020-07-06,Shanghai,39,139
2020-07-07,Shanghai,28,135
2020-07-08,Shanghai,26,89
2020-07-09,Shanghai,39,134
2020-07-10,Shanghai,32,119
2020-07-11,Shanghai,37,121
2020-07-12,Shanghai,33,123
2020-07-13,Shanghai,36,136
2020-07-14,Shanghai,34,114
2020-07-15,Shanghai,33,110
2020-07-16,Shanghai,33,112
2020-07-17,Shanghai,36,116
2020-07-18,Shanghai,34,92
2020-07-19,Shanghai,39,119
2020-07-20,Shanghai,32,111
2020-07-21,Shanghai,24,122
2020-07-22,Shanghai,28,112
2020-07-23,Shanghai,40,114
2020-07-24,Shanghai,31,113
2020-07-25,Shanghai,39,121
2020-07-26,Shanghai,32,105
2020-07-27,Shanghai,31,133
2020-07-28,Shanghai,42,117
2020-07-29,Shanghai,27,120
2020-07-30,Shanghai,36,138
2020-07-31,Shanghai,41,128
2020-08-01,Shanghai,29,124
2020-08-02,Shanghai,29,104
2020-08-03,Shanghai,35,146
2020-08-04,Shanghai,15,45
2020-08-05,Shanghai,32,105
2020-08-06,Shanghai,34,136
2020-08-07,Shanghai,28,126
2020-08-08,Shanghai,30,111
2020-08-09,Shanghai,36,112
2020-08-10,Shanghai,30,133
2020-08-11,Shanghai,41,134
2020-08-12,Shanghai,31,130
2020-08-13,Shanghai,32,126
2020-08-14,Shanghai,35,129
2020-08-15,Shanghai,31,111
2020-08-16,Shanghai,29,109
2020-08-17,Shanghai,36,129
2020-08-18,Shanghai,31,123
2020-08-19,Shanghai,29,112
2020-08-20,Shanghai,37,131
2020-08-21,Shanghai,33,126
2020-08-22,Shanghai,34,117
2020-08-23,Shanghai,27,111
2020-08-24,Shanghai,33,110
2020-08-25,Shanghai,13,29
2020-08-26,Shanghai,31,123
2020-08-27,Shanghai,39,145
2020-08-28,Shanghai,30,101
2020-08-29,Shanghai,35,113
2020-08-30,Shanghai,33,116
2020-08-31,Shanghai,32,135
2020-09-01,Shanghai,24,69
2020-09-02,Shanghai,32,85
2020-09-03,Shanghai,36,153
2020-09-04,Shanghai,27,93
2020-09-05,Shanghai,32,126
2020-09-06,Shanghai,33,105
2020-09-07,Shanghai,28,140
2020-09-08,Shanghai,26,129
2020-09-09,Shanghai,35,125
2020-09-10,Shanghai,30,129
2020-09-11,Shanghai,34,131
2020-09-12,Shanghai,32,135
2020-09-13,Shanghai,30,101
2020-09-14,Shanghai,35,130
2020-09-15,Shanghai,38,129
2020-09-16,Shanghai,24,128
2020-09-17,Shanghai,36,129
2020-09-18,Shanghai,30,116
2020-09-19,Shanghai,29,125
2020-09-20,Shanghai,29,118
2020-09-21,Shanghai,33,133
2020-09-22,Shanghai,30,128
2020-09-23,Shanghai,30,124
2020-09-24,Shanghai,39,135
2020-09-25,Shanghai,31,117
2020-09-26,Shanghai,27,124
2020-09-27,Shanghai,26,96
2020-09-28,Shanghai,44,148
2020-09-29,Shanghai,35,116
2020-09-30,Shanghai,35,140
2020-10-01,Shanghai,31,103
2020-10-02,Shanghai,25,105
2020-10-03,Shanghai,29,105
2020-10-04,Shanghai,32,97
2020-10-05,Shanghai,38,126
2020-10-06,Shanghai,36,137
2020-10-07,Shanghai,26,95
2020-10-08,Shanghai,36,111
2020-10-09,Shanghai,30,114
2020-10-10,Shanghai,24,90
2020-10-11,Shanghai,25,112
2020-10-12,Shanghai,31,113
2020-10-13,Shanghai,28,100
2020-10-14,Shanghai,27,107
2020-10-15,Shanghai,34,115
2020-10-16,Shanghai,37,119
2020-10-17,Shanghai,37,133
2020-10-18,Shanghai,29,116
2020-10-19,Shanghai,42,127
2020-10-20,Shanghai,32,108
2020-10-21,Shanghai,29,125
2020-10-22,Shanghai,35,117
2020-10-23,Shanghai,32,130
2020-10-24,Shanghai,31,125
2020-10-25,Shanghai,31,107
2020-10-26,Shanghai,32,121
2020-10-27,Shanghai,26,109
2020-10-28,Shanghai,32,127
2020-10-29,Shanghai,35,122
2020-10-30,Shanghai,32,151
2020-10-31,Shanghai,34,116
2020-11-01,Shanghai,32,130
2020-11-02,Shanghai,31,129
2020-11-03,Shanghai,28,110
2020-11-04,Shanghai,32,140
2020-11-05,Shanghai,37,124
2020-11-06,Shanghai,32,118
2020-11-07,Shanghai,43,129
2020-11-08,Shanghai,32,119
2020-11-09,Shanghai,28,119
2020-11-10,Shanghai,36,126
2020-11-11,Shanghai,31,126
2020-11-12,Shanghai,41,134
2020-11-13,Shanghai,35,126
2020-11-14,Shanghai,33,122
2020-11-15,Shanghai,28,122
2020-11-16,Shanghai,38,142
2020-11-17,Shanghai,31,131
2020-11-18,Shanghai,32,116
2020-11-19,Shanghai,39,125
2020-11-20,Shanghai,34,125
2020-11-21,Shanghai,33,100
2020-11-22,Shanghai,31,101
2020-11-23,Shanghai,41,139
2020-11-24,Shanghai,26,110
2020-11-25,Shanghai,30,121
2020-11-26,Shanghai,32,118
2020-11-27,Shanghai,34,119
2020-11-28,Shanghai,29,115
2020-11-29,Shanghai,28,111
2020-11-30,Shanghai,33,123
2020-12-01,Shanghai,37,124
2020-12-02,Shanghai,35,128
2020-12-03,Shanghai,44,127
2020-12-04,Shanghai,32,118
2020-12-05,Shanghai,32,139
2020-12-06,Shanghai,26,100
2020-12-07,Shanghai,36,137
2020-12-08,Shanghai,32,107
2020-12-09,Shanghai,31,126
2020-12-10,Shanghai,33,129
2020-12-11,Shanghai,32,127
2020-12-12,Shanghai,32,112
2020-12-13,Shanghai,31,105
2020-12-14,Shanghai,31,74
2020-12-15,Shanghai,32,90
2020-12-16,Shanghai,38,133
2020-12-17,Shanghai,28,128
2020-12-18,Shanghai,39,123
2020-12-19,Shanghai,36,135
2020-12-20,Shanghai,22,110
2020-12-21,Shanghai,38,155
2020-12-22,Shanghai,30,123
2020-12-23,Shanghai,32,111
2020-12-24,Shanghai,25,102
2020-12-25,Shanghai,35,141
2020-12-26,Shanghai,31,128
2020-12-27,Shanghai,24,119
2020-12-28,Shanghai,31,126
2020-12-29,Shanghai,15,59
2020-12-30,Shanghai,4,32
2020-12-31,Shanghai,33,120
2021-01-01,Shanghai,34,137
2021-01-02,Shanghai,33,130
2021-01-03,Shanghai,33,125
2021-01-04,Shanghai,35,152
2021-01-05,Shanghai,39,143
2021-01-06,Shanghai,23,103
2021-01-07,Shanghai,25,63
2021-01-08,Shanghai,22,86
2021-01-09,Shanghai,29,133
2021-01-10,Shanghai,31,120
2021-01-11,Shanghai,38,133
2021-01-12,Shanghai,33,137
2021-01-13,Shanghai,31,125
2021-01-14,Shanghai,39,131
2021-01-15,Shanghai,31,139
2021-01-16,Shanghai,32,104
2021-01-17,Shanghai,30,125
2021-01-18,Shanghai,33,150
2021-01-19,Shanghai,31,123
2021-01-20,Shanghai,28,140
2021-01-21,Shanghai,18,93
2021-01-22,Shanghai,24,95
2021-01-23,Shanghai,32,121
2021-01-24,Shanghai,30,103
2021-01-25,Shanghai,34,130
2021-01-26,Shanghai,33,94
2021-01-27,Shanghai,31,130
2021-01-28,Shanghai,27,98
2021-01-29,Shanghai,38,149
2021-01-30,Shanghai,35,128
2021-01-31,Shanghai,31,109
2021-02-01,Shanghai,37,111
2021-02-02,Shanghai,32,113
2021-02-03,Shanghai,30,128
2021-02-04,Shanghai,30,121
2021-02-05,Shanghai,29,117
2021-02-06,Shanghai,40,133
2021-02-07,Shanghai,22,94
2021-02-08,Shanghai,34,113
2021-02-09,Shanghai,32,118
2021-02-10,Shanghai,32,117
2021-02-11,Shanghai,29,82
2021-02-12,Shanghai,37,114
2021-02-13,Shanghai,33,102
2021-02-14,Shanghai,34,119
2021-02-15,Shanghai,40,122
2021-02-16,Shanghai,26,106
2021-02-17,Shanghai,27,82
2021-02-18,Shanghai,22,107
2021-02-19,Shanghai,30,102
2021-02-20,Shanghai,32,93
2021-02-21,Shanghai,22,81
2021-02-22,Shanghai,23,95
2021-02-23,Shanghai,27,115
2021-02-24,Shanghai,26,128
2021-02-25,Shanghai,25,85
2021-02-26,Shanghai,31,104
2021-02-27,Shanghai,37,103
2021-02-28,Shanghai,20,56
2021-03-01,Shanghai,23,111
2021-03-02,Shanghai,33,141
2021-03-03,Shanghai,31,105
2021-03-04,Shanghai,18,87
2021-03-05,Shanghai,37,131
2021-03-06,Shanghai,33,126
2021-03-07,Shanghai,38,118
