port,sid,name,season,first,last,min_km,max_wind
ningbo,2019195N13136,DANAS,2019,2019-07-18 15:00,2019-07-19 12:00,222.5,45.0
ningbo,2019214N15134,LEKIMA,2019,2019-08-09 00:00,2019-08-10 15:00,129.8,120.0
ningbo,2019243N06136,LINGLING,2019,2019-09-06 03:00,2019-09-06 15:00,325.4,113.0
ningbo,2019260N20129,TAPAH,2019,2019-09-20 21:00,2019-09-22 03:00,396.1,65.0
ningbo,2019268N10155,MITAG,2019,2019-09-30 21:00,2019-10-01 21:00,53.1,78.0
ningbo,2021197N17135,IN-FA,2021,2021-07-24 00:00,2021-07-26 00:00,38.5,70.0
ningbo,2021248N12141,CHANTHU,2021,2021-09-12 18:00,2021-09-14 03:00,159.1,90.0
ningbo,2022239N22150,HINNAMNOR,2022,2022-09-04 09:00,2022-09-05 06:00,294.5,105.0
ningbo,2022247N26147,MUIFA,2022,2022-09-14 06:00,2022-09-14 18:00,43.5,85.0
ningbo,2024253N11148,BEBINCA,2024,2024-09-15 18:00,2024-09-16 03:00,105.9,70.0
ningbo,2024259N12145,PULASAN,2024,2024-09-19 09:00,2024-09-19 12:00,88.9,33.0
ningbo,2024298N13150,KONG-REY,2024,2024-11-01 09:00,2024-11-01 12:00,82.5,45.0
ningbo,2025203N20124,CO-MAY,2025,2025-07-29 18:00,2025-07-30 12:00,47.3,39.0
ningbo,2026182N09163,BAVI,2026,2026-07-11 03:00,2026-07-11 18:00,196.1,80.0
ningbo,2026208N13178,DOLPHIN,2026,2026-08-08 09:00,2026-08-09 18:00,203.5,74.0
ningbo,2026231N08155,SAUDEL,2026,2026-08-27 18:00,2026-08-28 00:00,203.5,70.0
shanghai,2019195N13136,DANAS,2019,2019-07-18 21:00,2019-07-19 12:00,289.0,43.0
shanghai,2019214N15134,LEKIMA,2019,2019-08-09 09:00,2019-08-10 21:00,94.4,103.0
shanghai,2019243N06136,LINGLING,2019,2019-09-06 09:00,2019-09-06 18:00,343.2,105.0
shanghai,2019260N20129,TAPAH,2019,2019-09-21 03:00,2019-09-22 06:00,468.9,65.0
shanghai,2019268N10155,MITAG,2019,2019-10-01 03:00,2019-10-02 00:00,138.1,68.0
shanghai,2021197N17135,IN-FA,2021,2021-07-24 12:00,2021-07-26 09:00,67.1,70.0
shanghai,2021248N12141,CHANTHU,2021,2021-09-13 00:00,2021-09-14 03:00,174.2,85.0
shanghai,2022239N22150,HINNAMNOR,2022,2022-09-04 18:00,2022-09-05 06:00,360.1,105.0
shanghai,2022247N26147,MUIFA,2022,2022-09-14 12:00,2022-09-14 21:00,20.2,75.0
shanghai,2024253N11148,BEBINCA,2024,2024-09-15 21:00,2024-09-16 06:00,37.2,70.0
shanghai,2024259N12145,PULASAN,2024,2024-09-19 12:00,2024-09-19 18:00,27.6,30.0
shanghai,2025203N20124,CO-MAY,2025,2025-07-29 21:00,2025-07-30 15:00,27.6,39.0
shanghai,2026182N09163,BAVI,2026,2026-07-11 06:00,2026-07-11 18:00,300.3,80.0
shanghai,2026208N13178,DOLPHIN,2026,2026-08-08 21:00,2026-08-09 18:00,350.3,74.0
yangshan,2019195N13136,DANAS,2019,2019-07-18 15:00,2019-07-19 12:00,222.8,45.0
yangshan,2019214N15134,LEKIMA,2019,2019-08-09 03:00,2019-08-10 18:00,150.3,113.0
yangshan,2019243N06136,LINGLING,2019,2019-09-06 03:00,2019-09-06 18:00,299.3,113.0
yangshan,2019260N20129,TAPAH,2019,2019-09-21 00:00,2019-09-22 06:00,395.9,65.0
yangshan,2019268N10155,MITAG,2019,2019-10-01 03:00,2019-10-02 00:00,55.9,68.0
yangshan,2021197N17135,IN-FA,2021,2021-07-24 06:00,2021-07-26 03:00,44.4,70.0
yangshan,2021248N12141,CHANTHU,2021,2021-09-12 21:00,2021-09-14 09:00,122.2,88.0
yangshan,2022239N22150,HINNAMNOR,2022,2022-09-04 12:00,2022-09-05 09:00,288.1,105.0
yangshan,2022247N26147,MUIFA,2022,2022-09-14 09:00,2022-09-14 21:00,15.6,80.0
yangshan,2024253N11148,BEBINCA,2024,2024-09-15 15:00,2024-09-16 03:00,39.0,73.0
yangshan,2024259N12145,PULASAN,2024,2024-09-19 09:00,2024-09-19 15:00,8.7,33.0
yangshan,2024298N13150,KONG-REY,2024,2024-11-01 09:00,2024-11-01 12:00,115.3,45.0
yangshan,2025193N30123,UNNAMED,2025,2025-07-12 03:00,2025-07-12 12:00,70.9,
yangshan,2025203N20124,CO-MAY,2025,2025-07-29 18:00,2025-07-30 12:00,25.9,39.0
yangshan,2026182N09163,BAVI,2026,2026-07-11 03:00,2026-07-11 18:00,267.9,80.0
yangshan,2026208N13178,DOLPHIN,2026,2026-08-08 15:00,2026-08-09 18:00,281.7,74.0
